area;nr_of_rooms;tier;parking;year_of_construction;district_id;price
73.000000;3;1;0;2008;13;418000.000000
55.630000;3;0;0;2016;4;428351.000000
72.000000;4;5;0;1980;11;435000.000000
83.000000;4;3;0;1990;2;405000.000000
71.000000;3;7;0;1981;9;399000.000000
90.000000;4;4;0;2010;5;519000.000000
43.600000;2;1;0;1970;0;225000.000000
35.500000;1;4;0;1983;9;179000.000000
67.000000;4;3;1;1980;11;385000.000000
64.000000;3;4;1;1990;6;1100000.000000
46.300000;2;0;0;1980;11;315000.000000
50.000000;2;1;0;1981;9;230000.000000
57.000000;3;2;0;2007;14;299000.000000
58.000000;3;4;0;1937;12;420000.000000
58.000000;3;4;0;1911;12;420000.000000
63.000000;3;4;0;2001;10;479000.000000
85.000000;3;3;1;1937;12;645000.000000
50.000000;2;2;0;1997;1;485000.000000
64.700000;3;6;0;1989;6;329000.000000
97.000000;4;0;0;2008;3;599000.000000
47.470000;2;1;0;2017;6;213615.000000
42.600000;2;4;0;1992;17;255000.000000
47.000000;2;3;0;2015;4;352405.000000
79.000000;3;4;0;2008;3;660000.000000
52.000000;2;1;0;2008;13;130000.000000
60.000000;2;3;0;2004;2;370000.000000
39.000000;2;2;0;1980;11;325000.000000
50.400000;3;3;0;2017;2;264449.000000
60.000000;2;3;0;1900;12;549000.000000
37.000000;2;1;0;1980;11;299000.000000
67.500000;2;1;0;2010;5;470000.000000
67.730000;3;3;0;1911;12;873717.000000
60.500000;2;2;0;2015;4;445000.000000
50.000000;2;2;1;2008;13;359000.000000
38.000000;2;3;0;2015;8;209000.000000
47.300000;2;1;0;1970;9;230000.000000
82.000000;4;4;0;2010;5;489000.000000
64.000000;3;3;0;2015;8;438150.000000
40.000000;2;1;0;1980;11;325000.000000
35.000000;2;3;0;2008;3;221390.000000
40.500000;2;0;0;2001;8;80000.000000
54.000000;2;3;0;2011;11;399000.000000
36.000000;2;10;0;2001;10;228000.000000
45.000000;3;3;0;1980;11;305000.000000
41.000000;2;1;0;2015;8;320000.000000
61.400000;3;2;0;2007;14;320000.000000
44.000000;2;2;0;2001;10;325000.000000
51.000000;2;0;0;2008;3;370000.000000
40.390000;2;1;0;2014;14;240418.000000
52.000000;2;2;0;2004;2;299000.000000
54.000000;2;3;0;1962;17;269000.000000
36.490000;2;1;0;2017;2;191463.000000
37.000000;2;3;0;1980;11;310000.000000
51.000000;2;0;0;2015;8;370000.000000
54.500000;2;3;0;2015;8;335000.000000
59.880000;3;2;0;2017;6;290418.000000
58.000000;3;4;1;2007;14;315000.000000
35.150000;2;1;0;2016;12;474525.000000
74.970000;3;2;0;1993;2;368000.000000
42.200000;2;2;0;1997;1;329000.000000
48.830000;2;3;0;2015;4;330000.000000
51.000000;3;2;0;2007;14;280000.000000
37.000000;2;2;0;2008;13;249000.000000
36.000000;2;4;0;1990;6;220000.000000
61.400000;3;4;0;2007;14;285000.000000
36.000000;2;3;0;2008;3;276122.000000
71.400000;3;1;0;2009;3;449000.000000
35.000000;2;3;0;1960;11;220000.000000
65.000000;2;3;0;2015;16;469000.000000
45.000000;2;3;0;2015;8;269000.000000
57.200000;3;7;0;2015;4;486200.000000
49.000000;2;2;0;1997;1;387680.000000
52.000000;2;2;1;2008;13;139000.000000
50.000000;2;1;0;2015;8;409000.000000
44.000000;2;1;0;2001;10;295000.000000
103.000000;2;4;0;1937;12;1650000.000000
64.000000;3;2;0;1955;7;259000.000000
44.000000;2;0;0;1969;5;315000.000000
38.180000;2;3;0;2015;8;293986.000000
89.000000;3;3;0;2015;8;519000.000000
65.550000;3;1;0;2015;4;488549.000000
46.000000;2;4;0;1990;6;235000.000000
68.500000;3;9;0;2008;11;390000.000000
58.000000;2;2;0;2015;4;410000.000000
103.000000;4;3;0;2000;10;555000.000000
51.810000;3;5;0;2015;8;419000.000000
33.200000;1;1;0;2004;8;89000.000000
49.000000;2;3;0;2001;10;329000.000000
58.320000;3;1;0;1997;1;402408.000000
46.000000;2;0;0;1955;5;213900.000000
65.200000;2;3;0;2015;16;469000.000000
56.000000;3;4;0;1975;6;265000.000000
43.500000;2;3;0;2005;3;309000.000000
47.790000;3;3;0;2014;14;298688.000000
55.000000;2;1;0;2008;3;360000.000000
58.000000;2;3;0;2010;5;420000.000000
54.000000;2;3;1;2004;2;370000.000000
63.000000;3;4;0;2007;14;333000.000000
94.000000;4;3;1;2008;3;510000.000000
48.140000;2;6;0;1990;6;235886.000000
64.000000;3;4;0;1990;6;320000.000000
47.780000;2;2;0;2010;5;320000.000000
40.000000;2;0;0;2012;10;380000.000000
78.010000;3;0;0;1937;12;807404.000000
59.600000;3;3;0;2008;3;439000.000000
30.000000;1;0;0;2014;10;230000.000000
81.000000;6;3;1;2008;3;415000.000000
84.000000;3;3;0;2015;8;526051.000000
71.330000;3;1;0;2015;8;406581.000000
39.500000;2;2;0;2001;10;320000.000000
39.000000;2;4;1;1990;6;269000.000000
59.000000;3;3;0;2008;3;343911.000000
31.040000;1;0;0;1980;11;170720.000000
50.000000;2;0;0;1980;10;315000.000000
121.000000;3;3;1;1937;12;1032000.000000
42.240000;2;1;0;2016;4;325248.000000
28.000000;2;3;0;1980;11;214000.000000
48.000000;3;10;0;1973;10;295000.000000
73.000000;3;3;1;2015;4;506460.000000
56.900000;2;3;0;2010;5;440000.000000
32.600000;2;4;0;1960;7;176200.000000
52.000000;3;3;0;1980;14;270000.000000
55.000000;2;4;0;1997;1;350000.000000
86.000000;4;1;0;2009;3;790000.000000
53.000000;2;0;0;1990;8;400000.000000
64.000000;3;3;1;2015;4;459900.000000
45.000000;2;2;0;1975;9;224000.000000
49.200000;2;2;0;2007;14;115000.000000
40.000000;2;3;0;2015;4;197000.000000
64.000000;3;0;0;1990;6;295000.000000
31.900000;1;0;0;2016;4;216920.000000
32.000000;2;3;0;2008;3;246240.000000
34.000000;2;4;0;2007;14;197000.000000
37.200000;2;5;0;2004;2;239000.000000
53.280000;2;0;0;2015;16;350000.000000
59.500000;3;9;0;1981;9;299000.000000
28.000000;1;2;0;1960;5;235000.000000
91.000000;2;2;1;1997;1;814350.000000
41.000000;2;3;0;2015;8;222805.000000
30.000000;1;1;0;2015;4;365000.000000
71.000000;3;2;0;2015;5;694000.000000
36.000000;2;4;0;1980;11;259000.000000
48.600000;2;1;0;2007;14;330000.000000
40.000000;2;3;0;2015;4;197000.000000
426.000000;5;4;1;1990;6;9714652.000000
58.840000;3;2;0;2015;4;408938.000000
120.000000;4;5;0;2010;5;1500000.000000
94.000000;3;3;0;2008;3;459424.000000
59.000000;3;4;0;1990;6;430000.000000
55.000000;2;3;0;2008;3;358325.000000
80.000000;3;5;0;2008;3;465000.000000
54.000000;2;0;0;1986;3;330000.000000
38.110000;2;1;0;2004;2;269000.000000
32.000000;1;2;0;1960;4;257000.000000
50.000000;2;1;0;1980;9;235000.000000
64.630000;3;5;0;1960;7;420000.000000
24.500000;1;2;0;2015;5;219000.000000
54.630000;3;2;0;2015;2;300465.000000
48.900000;2;1;0;2015;4;337410.000000
47.000000;2;3;1;2015;8;252757.000000
73.000000;3;1;0;2004;17;399000.000000
44.630000;2;0;0;2017;8;233861.000000
51.810000;3;5;0;2015;8;425000.000000
58.000000;3;4;0;1937;12;420000.000000
25.000000;1;2;0;1920;4;217500.000000
50.300000;2;2;0;2008;3;329000.000000
48.000000;2;0;0;2015;16;310000.000000
42.980000;3;2;0;2015;6;193410.000000
35.000000;2;0;0;1980;11;280000.000000
62.100000;3;5;0;2007;14;389000.000000
39.000000;2;0;0;1935;5;269000.000000
54.000000;2;4;0;1990;6;269000.000000
49.300000;2;0;0;1960;7;235000.000000
51.000000;3;4;0;1937;12;408000.000000
36.760000;1;1;0;2001;10;197000.000000
50.000000;2;1;0;2001;10;295000.000000
57.000000;3;3;0;1960;7;312000.000000
68.100000;4;4;0;2015;3;459000.000000
64.000000;3;2;0;2004;2;380000.000000
56.000000;3;3;1;2008;3;318640.000000
56.000000;2;0;0;1997;1;429000.000000
31.750000;1;1;0;1980;11;264890.000000
47.100000;3;0;0;2017;3;265000.000000
98.000000;4;2;0;1937;12;1100000.000000
56.000000;3;3;1;2001;10;376656.000000
66.500000;3;3;0;2012;2;420000.000000
82.000000;2;3;0;1937;12;1000000.000000
49.000000;2;3;1;2010;5;615000.000000
50.000000;2;1;0;2010;5;499000.000000
71.380000;3;2;0;2015;4;513936.000000
115.000000;4;3;1;2010;5;987000.000000
42.500000;2;8;0;2009;11;285000.000000
36.000000;2;3;1;1937;12;440000.000000
52.000000;2;2;0;2008;13;340000.000000
70.640000;3;3;0;1980;11;389000.000000
62.000000;2;5;0;2001;10;486000.000000
51.000000;2;3;0;2015;4;355000.000000
122.000000;4;4;0;2008;11;1350000.000000
86.000000;4;3;0;2008;3;629000.000000
53.000000;2;0;0;1970;0;90000.000000
52.000000;2;8;0;1980;11;305000.000000
62.500000;3;4;0;2015;8;295000.000000
60.000000;3;4;0;1981;9;258000.000000
